DrawObjectData_1.Matrix,DrawObjectData_1.NormleMatrix,DrawObjectData_1.EnitityID,DrawObjectData_1.MaterielID,DrawObjectData_1.Empty0,DrawObjectData_1.Empty1
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0939, 13.2641, 13.0324, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8523]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, -4.7391]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[16.9029, 13.2641, 13.0324, 1.0000]","[0.3636, -0.0000, 0.0000, -6.1465]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, -4.7391]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0939, 13.2641, -13.1885, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8523]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, 4.7958]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[16.9029, 13.2641, -13.1885, 1.0000]","[0.3636, -0.0000, 0.0000, -6.1465]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, 4.7958]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0939, 13.2641, -13.1885, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8523]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, 4.7958]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0939, 13.2641, 13.0324, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8523]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, -4.7391]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[16.9029, 13.2641, 13.0324, 1.0000]","[0.3636, -0.0000, 0.0000, -6.1465]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, -4.7391]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[16.9029, 13.2641, -13.1885, 1.0000]","[0.3636, -0.0000, 0.0000, -6.1465]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, 4.7958]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0939, 13.2641, 13.0324, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8523]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, -4.7391]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[16.9029, 13.2641, 13.0324, 1.0000]","[0.3636, -0.0000, 0.0000, -6.1465]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, -4.7391]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0939, 13.2641, -13.1885, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8523]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, 4.7958]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[16.9029, 13.2641, -13.1885, 1.0000]","[0.3636, -0.0000, 0.0000, -6.1465]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0000, -0.0000, 0.3636, 4.7958]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0005, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8184]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,3,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[17.0378, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, -6.1956]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,3,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[5.9996, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, -2.1817]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,4,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[17.0378, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, -6.1956]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,4,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-26.7306, 4.9346, 16.8831, 1.0000]","[0.3636, -0.0000, 0.0000, 9.7202]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1393]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,4,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-15.8867, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, 5.7770]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,4,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0005, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8184]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,4,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-15.8867, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, 5.7770]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,3,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[5.9996, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, -2.1817]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,3,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[5.9996, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, -2.1817]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-15.8867, 4.9346, 16.8666, 1.0000]","[0.3636, -0.0000, 0.0000, 5.7770]
[-0.0000, 0.3636, -0.0000, -1.7944]
[0.0000, -0.0000, 0.3636, -6.1333]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.3816, 0.0000, 1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-1.3750, 0.0000, 2.3816, 0.0000]
[6.0033, 13.2641, -13.1885, 1.0000]","[0.3149, -0.0000, 0.1818, 0.5074]
[-0.0000, 0.3636, -0.0000, -4.8233]
[-0.1818, -0.0000, 0.3149, 5.2448]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.3816, 0.0000, 1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-1.3750, 0.0000, 2.3816, 0.0000]
[6.0033, 13.2641, 13.0324, 1.0000]","[0.3149, -0.0000, 0.1818, -4.2601]
[-0.0000, 0.3636, -0.0000, -4.8233]
[-0.1818, -0.0000, 0.3149, -3.0126]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.3816, 0.0000, 1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-1.3750, 0.0000, 2.3816, 0.0000]
[6.0033, 13.2641, -13.1885, 1.0000]","[0.3149, -0.0000, 0.1818, 0.5074]
[-0.0000, 0.3636, -0.0000, -4.8233]
[-0.1818, -0.0000, 0.3149, 5.2448]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.3816, 0.0000, 1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-1.3750, 0.0000, 2.3816, 0.0000]
[6.0033, 13.2641, 13.0324, 1.0000]","[0.3149, -0.0000, 0.1818, -4.2601]
[-0.0000, 0.3636, -0.0000, -4.8233]
[-0.1818, -0.0000, 0.3149, -3.0126]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.3816, 0.0000, 1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-1.3750, 0.0000, 2.3816, 0.0000]
[6.0033, 13.2641, -13.1885, 1.0000]","[0.3149, -0.0000, 0.1818, 0.5074]
[-0.0000, 0.3636, -0.0000, -4.8233]
[-0.1818, -0.0000, 0.3149, 5.2448]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.3816, 0.0000, 1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-1.3750, 0.0000, 2.3816, 0.0000]
[6.0033, 13.2641, 13.0324, 1.0000]","[0.3149, -0.0000, 0.1818, -4.2601]
[-0.0000, 0.3636, -0.0000, -4.8233]
[-0.1818, -0.0000, 0.3149, -3.0126]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.7082, 0.0000, -0.4775, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.4775, 0.0000, 2.7082, 0.0000]
[-16.2857, 13.2641, -13.1850, 1.0000]","[0.3581, -0.0000, -0.0631, 4.9995]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0631, -0.0000, 0.3581, 5.7501]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7082, 0.0000, -0.4775, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.4775, 0.0000, 2.7082, 0.0000]
[-16.2857, 13.2641, 13.0360, 1.0000]","[0.3581, -0.0000, -0.0631, 6.6553]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0631, -0.0000, 0.3581, -3.6400]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7082, 0.0000, -0.4775, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.4775, 0.0000, 2.7082, 0.0000]
[-16.2857, 13.2641, 13.0360, 1.0000]","[0.3581, -0.0000, -0.0631, 6.6553]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0631, -0.0000, 0.3581, -3.6400]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.7082, 0.0000, -0.4775, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.4775, 0.0000, 2.7082, 0.0000]
[-16.2857, 13.2641, -13.1850, 1.0000]","[0.3581, -0.0000, -0.0631, 4.9995]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0631, -0.0000, 0.3581, 5.7501]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.7082, 0.0000, -0.4775, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.4775, 0.0000, 2.7082, 0.0000]
[-16.2857, 13.2641, -13.1850, 1.0000]","[0.3581, -0.0000, -0.0631, 4.9995]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0631, -0.0000, 0.3581, 5.7501]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.7082, 0.0000, -0.4775, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.4775, 0.0000, 2.7082, 0.0000]
[-16.2857, 13.2641, 13.0360, 1.0000]","[0.3581, -0.0000, -0.0631, 6.6553]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.0631, -0.0000, 0.3581, -3.6400]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.3816, 0.0000, -1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[1.3750, 0.0000, 2.3816, 0.0000]
[-27.0198, 13.2641, 13.0360, 1.0000]","[0.3149, -0.0000, -0.1818, 10.8792]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.1818, -0.0000, 0.3149, 0.8074]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.3816, 0.0000, -1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[1.3750, 0.0000, 2.3816, 0.0000]
[-27.0198, 13.2641, -13.1850, 1.0000]","[0.3149, -0.0000, -0.1818, 6.1118]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.1818, -0.0000, 0.3149, 9.0649]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.3816, 0.0000, -1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[1.3750, 0.0000, 2.3816, 0.0000]
[-27.0198, 13.2641, 13.0360, 1.0000]","[0.3149, -0.0000, -0.1818, 10.8792]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.1818, -0.0000, 0.3149, 0.8074]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.3816, 0.0000, -1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[1.3750, 0.0000, 2.3816, 0.0000]
[-27.0198, 13.2641, -13.1850, 1.0000]","[0.3149, -0.0000, -0.1818, 6.1118]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.1818, -0.0000, 0.3149, 9.0649]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.3816, 0.0000, -1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[1.3750, 0.0000, 2.3816, 0.0000]
[-27.0198, 13.2641, -13.1850, 1.0000]","[0.3149, -0.0000, -0.1818, 6.1118]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.1818, -0.0000, 0.3149, 9.0649]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.3816, 0.0000, -1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[1.3750, 0.0000, 2.3816, 0.0000]
[-27.0198, 13.2641, 13.0360, 1.0000]","[0.3149, -0.0000, -0.1818, 10.8792]
[-0.0000, 0.3636, -0.0000, -4.8233]
[0.1818, -0.0000, 0.3149, 0.8074]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[6.2544, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, -2.2743]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-26.4959, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 9.6349]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[6.2544, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, -2.2743]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-15.7930, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 5.7429]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-26.4959, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 9.6349]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0633, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8412]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-15.7930, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 5.7429]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,7,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0633, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8412]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,7,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-15.7930, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 5.7429]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0633, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8412]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0633, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8412]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,8,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-15.7930, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 5.7429]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,8,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-15.7930, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 5.7429]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0633, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8412]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-15.7930, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 5.7429]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,4,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.0633, 14.9901, -20.5384, 1.0000]","[0.3636, -0.0000, 0.0000, 1.8412]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, 7.4685]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,4,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-26.6539, 14.9901, 20.4328, 1.0000]","[0.3636, -0.0000, 0.0000, 9.6923]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, -7.4301]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.2657, 14.9901, 20.4328, 1.0000]","[0.3636, -0.0000, 0.0000, 1.9148]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, -7.4301]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[6.2067, 14.9901, 20.4328, 1.0000]","[0.3636, -0.0000, 0.0000, -2.2570]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, -7.4301]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-16.0629, 14.9901, 20.4328, 1.0000]","[0.3636, -0.0000, 0.0000, 5.8410]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, -7.4301]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[6.2067, 14.9901, 20.4328, 1.0000]","[0.3636, -0.0000, 0.0000, -2.2570]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, -7.4301]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-16.0629, 14.9901, 20.4328, 1.0000]","[0.3636, -0.0000, 0.0000, 5.8410]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, -7.4301]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-5.2657, 14.9901, 20.4328, 1.0000]","[0.3636, -0.0000, 0.0000, 1.9148]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, -7.4301]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-26.6539, 14.9901, 20.4328, 1.0000]","[0.3636, -0.0000, 0.0000, 9.6923]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, -7.4301]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
